title,vote_count,vote_average,year,genres,id,overview,est,hybrid_score
Butterfly Kiss,5.0,7.4,1995,"['crime', 'drama', 'romance', 'thriller']",48260,"Eunice is walking along the highways of northern England from one filling station to another. She is searching for Judith, the woman, she says to be in love with. It's bad luck for the women at the cash desk not to be Judith, because Eunice is eccentric, angry and extreme dangerous. One day she meets Miriam, hard of hearing and a little ingenuous, who feels sympathy for Eunice and takes her home. Miriam is very impressed by Eunice's fierceness and willfulness and follows her on the search for Judith. Shocked by Eunice's cruelty she tries to make her a better person, but she looses ground herself.",3.5741767033768044,4.339341362701443
The Giant Mechanical Man,54.0,6.1,2012,"['comedy', 'drama', 'romance']",100046,An offbeat romantic comedy about a silver-painted street performer and the soft spoken zoo worker who falls for him.,3.8898514745286095,4.331881179622888
Mumford,27.0,6.3,1999,"['comedy', 'drama', 'romance']",24071,"In the small town of Mumford, a psychologist of the same name moves in and quickly becomes very popular, despite a questionable past.",3.819240179712244,4.315392143769795
I Could Never Be Your Woman,94.0,5.7,2007,"['comedy', 'drama', 'romance']",15019,This movie follows a mother who falls for a younger man while her daughter falls in love for the first time. Mother Nature messes with their fates.,3.968960415090652,4.315168332072521
Young People Fucking,73.0,5.9,2007,"['comedy', 'drama', 'romance']",13019,"On a Tuesday night, five couples have separate sexual adventures. Matt and Kris, friends for years, want to have an only-once, no-strings good time. Abby and Andrew, married, celebrate his birthday, but it's marred by angst and miscommunication. Mia and Eric are exes, making sure they are over each other. Jaime and Ken work together and this is a first date. Inez and Gord invite his roommate, Dave, to join them. By the time each couple has gone through a prelude, foreplay, sex, an interlude, orgasm, and afterglow, they've answered basic questions: can sex be anonymous, are we bored, is our marriage really finished, does anyone tell the truth, and how do we make someone happy?",3.8898514745286095,4.291881179622888
Just Wright,102.0,6.0,2010,"['comedy', 'drama', 'romance']",38093,A physical therapist falls for the basketball player she is helping recover from a career-threatening injury.,3.855554631123185,4.284443704898548
Gross Anatomy,23.0,5.9,1989,"['comedy', 'drama', 'romance']",17190,"It Takes Hard Work, Discipline And Commitment To Get Through Med School. But Joe's Never Done Anything By The Book. Matthew Modine stars as Joe Slovak, a brilliant first-year med student whose casual, nonconforming approach to life gets tested when he enrolls in Gross Anatomy, the toughest course in med school.",3.868957739750996,4.275166191800796
Lovely & Amazing,23.0,6.3,2001,"['comedy', 'drama', 'romance']",50035,Self-esteem and insecurity are at the heart of this comedy about the relationship between a mother and her three confused daughters.,3.767468506469234,4.273974805175387
Next Stop Wonderland,21.0,6.0,1998,"['comedy', 'drama', 'romance']",41469,A lighthearted story about a man and a woman who seem destined to be together... and the hilarious chain of accidents that seem determined to keep them apart!,3.8424621926785982,4.273969754142879
Sex and the City 2,434.0,5.5,2010,"['comedy', 'drama', 'romance']",37786,"Carrie, Charlotte, and Miranda are all married now, but they're still up for a little fun in the sun. When Samantha gets the chance to visit one of the most extravagant vacation destinations on the planet and offers to bring them all along, they surmise that a women-only retreat may be the perfect excuse to eschew their responsibilities and remember what life was like before they decided to settle down.",3.9596869229235327,4.267749538338826
You Will Meet a Tall Dark Stranger,254.0,5.8,2010,"['comedy', 'drama', 'romance']",38031,"Two married couples find only trouble and heartache as their complicated lives unfold. After 40 years of marriage, Alfie leaves his wife to pursue what he thinks is happiness with a call girl. His wife, Helena, reeling from abandonment, decides to follow the advice of a psychic. Sally, the daughter of Alfie and Helena, is unhappy in her marriage and develops a crush on her boss, while her husband, Roy, falls for a woman engaged to be married.",3.8697503731355263,4.2558002985084205
Life or Something Like It,126.0,5.7,2002,"['comedy', 'drama', 'romance']",16643,"A reporter Lanie Kerrigan interviews a psychic homeless man for a fluff piece about a football game's score. Instead he tells her that her life has no meaning and is going to end in just a few days, which sparks her to action, trying to change the pattern of her life...",3.8898514745286095,4.251881179622888
The Competition,1.0,6.0,1980,"['drama', 'romance', 'music']",42158,"The movie centers on a piano competition whose winner is assured of success. It is Paul's last chance to compete, but newcomer Heidi may be a better pianist. Can romance be far away? Will she take a dive despite the pressure to win from her teacher, Greta, or will she condemn Paul to obscurity?",3.800082448429244,4.240065958743395
Yentl,51.0,6.2,1983,"['music', 'drama', 'romance']",10269,A Jewish girl disguises herself as a boy to enter religious training.,3.7209946521941184,4.216795721755295
Shampoo,41.0,6.3,1975,"['comedy', 'drama', 'romance']",31121,"George Roundy is a Beverly Hills hairstylist whose uncontrolled libido stands between him and his ambitions. He wants the security of a relationship. He wants to be a hairdressing ""star"" and open his own salon. But the fact that he beds down with the wife, daughter and mistress of a potential backer doesn't help. It also does little for his relationship with his current girlfriend.",3.690866208105946,4.212692966484757
Woman on Top,48.0,5.5,2000,"['comedy', 'drama', 'romance']",14629,"Set to the intoxicating rhythms of Brazil, ""Woman on Top"" is a spicy, sexy comedy about the magic of food, love and music. Meet Isabella, a sultry enchantress born with the special gift of melting the palates and hearts of men everywhere. When she decides to break free from her rocky marriage and the stifling kitchen of her husband's restaurant in Brazil, she spirits off to San Francisco in pursuit of her dreams of a real culinary career.",3.8898514745286095,4.211881179622888
The Opportunists,2.0,5.5,2000,"['comedy', 'crime', 'drama', 'romance']",45905,"Vic is a struggling auto mechanic with a safe-cracking past and a lot of debt. His girlfriend runs a bar and offers to loan him the money she's saved for remodeling, but Vic is reluctant to take it. When a long-lost cousin from Ireland shows up on his doorstep, the two team up for one last heist.",3.8898514745286095,4.211881179622888
The Flamingo Kid,17.0,6.0,1984,"['comedy', 'drama', 'romance']",25010,"Brooklyn teenager Jeffrey Willis, thoroughly unhappy with his modest homestead, embraces the other-world aspects of his summer job at the posh Flamingo Club. He spurns his father in favor of the patronage of smooth-talking Phil Brody and is seduced by the ample bikini charms of club member Carla Samson. But thanks to a couple of late-summer hard lessons, the teen eventually realizes that family should always come first.",3.7606318370059104,4.208505469604728
Music from Another Room,14.0,5.7,1998,"['comedy', 'drama', 'romance']",39424,"Music From Another Room is a romantic comedy that follows the exploits of Danny, a young man who grew up believing he was destined to marry the girl he helped deliver as a five year old boy when his neighbor went into emergency labor. Twenty-five years later, Danny returns to his hometown and finds the irresistible Anna Swann but she finds it easy to resist him since she is already engaged to dreamboat Eric, a very practical match. In pursuit of Anna, Danny finds himself entangled with each of the eccentric Swanns including blind, sheltered Nina, cynical sister Karen, big brother Bill and dramatic mother Grace as he fights to prove that fate should never be messed with and passion should never be practical.",3.770465333328,4.1563722666624
Raise Your Voice,221.0,6.0,2004,"['music', 'drama', 'romance']",14024,"Raise Your Voice is a coming-of-age story centered around a small-town singer, brokenhearted by the death of her brother in a car crash, who had secretly submitted her for a summer session at a performing arts academy in Los Angeles. In the performing arts academy, she experiences a whole new way of life in the big city, far from the small town lifestyle she's used to.",3.693985819826864,4.155188655861491
North Shore,13.0,5.2,1987,"['action', 'drama', 'romance']",22915,"On a small stretch of coastline as powerful as a man's will, Rick Kane came to surf the big waves. He found a woman who would show him how to survive, and a challenge unlike any other.",3.8898514745286095,4.1518811796228885
The Other Sister,35.0,6.0,1999,"['comedy', 'drama', 'romance']",18417,"A mentally challenged girl proves herself to be every bit as capable as her ""perfect"" sister when she moves into an apartment and begins going to college.",3.687844020617413,4.150275216493931
Full Frontal,26.0,4.8,2002,"['comedy', 'drama', 'romance']",15186,"A contemporary comedy set in Los Angeles, Full Frontal traces the complicated relationship among seven friends as they deal with the fragile connections that bind them together. Full Frontal takes place during a twenty-four hour period - a day in the life of missed connections.",3.9424190125274015,4.113935210021922
Salsa,8.0,4.8,1988,"['drama', 'music', 'romance']",38909,"Fatherless barrio Puerto Rican Rico is a menial car mechanic by day, but lives for the nights, when he dances and dates hot dancing girls, cockily convinced the title of Salsa king in fancy nightclub La Luna's upcoming contest is to be his. He encourages his best friend, courteous gentleman Ken, to date his sister Margarita so he gets a free hand with her flirtatious classmate Lola. The reigning salsa queen Luna's interest in Rico as dance-partner threatens his on-off relationship with Vicki. More jealous trouble follows when Ken and Margarita fall in true love.",3.887407895557802,4.069926316446241
Girl,12.0,4.7,1998,"['comedy', 'drama', 'romance', 'music']",58467,"Andrea Marr is a bright, straight-A, mature, 18-year-old high school senior on the verge of womanhood who decides to abandon her sheltered, boring lifestyle and her bookish friend Darcy for a look into the local rock and roll scene as a groupie to local rock singer Tod Sparrow and learn more about the life of one who follows a touring band along with her new friends aspiring rock star wannabee Cybil, outgoing fellow groupie Rebecca, and music critic Kevin.",3.8898514745286095,4.051881179622888
Angie,11.0,5.0,1994,"['comedy', 'drama', 'romance']",83714,"Angie lives in the Bensonhurst section of Brooklyn, N.Y. and dreams of a better life than everyone she knows. When she finds that she is pregnant by her boyfriend Vinnie, she decides that she will have the baby, but not Vinnie as a husband. This turns the entire neighborhood upside down and starts her on a journey of self discovery. This journey includes her family, a new lover and her life. Even her best friend Tina has trouble understanding Angie. Written by Tony Fontana",3.6821178694112926,3.9456942955290337
The Inkwell,5.0,3.9,1994,"['comedy', 'drama', 'romance']",59930,The Inkwell is about a 16-year-old boy coming of age on Martha's Vineyard in the summer of 1976.,3.92404149967104,3.919233199736832
And God Created Woman,13.0,3.8,1988,"['comedy', 'drama', 'romance']",61651,"In this variation on director Vadim's own, more acclaimed Et Dieu Créa La Femme (1956, the same title in French), the vamp Robin Shea marries charming carpenter Billy Moran, only to get out of prison, but soon decides to seduce James Tiernan, who runs for state governor.",3.781937864859988,3.7855502918879904
About Last Night...,51.0,5.6,1986,"['comedy', 'drama', 'romance']",18169,"A man and woman meet and try to have a romantic affair, despite their personal problems and the interference of their disapproving friends.",3.1926004692102063,3.674080375368165
Wide Eyed and Legless,0.0,0.0,1993,"['tvmovie', 'drama', 'romance', 'comedy']",53185,"Diana and Deric have an ideal marriage: they thrive in each other's company, they're funny, and they enjoy their two grown children and Deric's dotty mother; the trouble is, Diana can no longer walk and her malady defies medical diagnosis. To care for Diana, Deric is letting his business slide, but at a civic luncheon, he is seated next to Aileen Armitage, a novelist who is blind. They have a nice time, and on the sly, Diana contacts Aileen to made an odd request. Diana's declining health and her resolve bring this triangle of unlikely friends to a surprising place.",3.92880479510912,3.1430438360872963
